Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How often do you use each of the following tools?,,,,,,,,,How proficient are you with each of the following tools?,,,,,,,,,How well do you think the following tools are suited for various areas of actuarial practice?,,,,,,,,,,,,,,,,,,,,,,,,,,,What other tools do you think should be added to the list above?,For which of the following tools do you plan to increase your proficiency in the next 12 months?,,,,,,,,,,What barriers (if any) are preventing you from learning new technology?,,,,,,,What barriers (if any) are preventing you from implementing new technology?,,,,,,,Which of the following general analytic techniques do you use regularly?,,,,,,,,,,,,Please use this space for any additional comments.,Designation,Age,Where are you located?,,What type of company do you work for?,,Approximate number of CAS actuaries at my organization:,How many years of experience do you have working in the actuarial field?
,,,,,,,,,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R - Ratemaking,R - Reserving,R - Capital modeling,Excel - Ratemaking,Excel - Reserving,Excel - Capital modeling,Non-Excel spreadsheet like Google Sheets - Ratemaking,Non-Excel spreadsheet like Google Sheets - Reserving,Non-Excel spreadsheet like Google Sheets - Capital modeling,SAS - Ratemaking,SAS - Reserving,SAS - Capital modeling,Python - Ratemaking,Python - Reserving,Python - Capital modeling,Data visualization tool like Tableau - Ratemaking,Data visualization tool like Tableau - Reserving,Data visualization tool like Tableau - Capital modeling,Matlab/Octave - Ratemaking,Matlab/Octave - Reserving,Matlab/Octave - Capital modeling,Business intelligence dasboarding tool like PowerBI - Ratemaking,Business intelligence dasboarding tool like PowerBI - Reserving,Business intelligence dasboarding tool like PowerBI - Capital modeling,SQL - Ratemaking,SQL - Reserving,SQL - Capital modeling,Open-Ended Response,R,Excel,Google Sheets,SAS,Python,A data visualization tool like Tableau,Matlab/Octave,A business intelligence dashboarding tool like Power BI,SQL,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Other (please specify),Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response
12825305290,405148313,7/16/2021 17:35,7/16/2021 17:39,,,,,,Not at all,At least once a day,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Less than once a month,At least once a day,,Advanced,,Advanced,,,,,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",,"Time series analysis, including claim trend analysis",,Chain-ladder,,Unsupervised learning methods like clustering or PCA,,,FCAS,41-50 years old,United States,,Insurance company,,5-Jan,More than 20
12825293069,405148313,7/16/2021 17:26,7/16/2021 17:31,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,Basic stuff,Advanced,Not at all,Basic stuff,Not at all,Not at all,Not at all,Not at all,Basic stuff,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Very much so,Somewhat,,R,,,,,,,,SQL,,,,,,Not enough time,,,,,,Financial cost,Not enough time,,,,,,Excess loss analysis,,,,,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Reinsurance company,,25-Nov,Between 15 and 20
12825281219,405148313,7/16/2021 17:19,7/16/2021 17:24,,,,,,Less than once a month,At least once a day,Not at all,About once a month,Not at all,About once a month,Not at all,About once a week,Less than once a month,Basic stuff,Advanced,Intermediate,Advanced,Basic stuff,Basic stuff,Not at all,Basic stuff,Intermediate,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Somewhat,Unsure,,R,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,31-40 years old,Canada,,Insurance company,,25-Nov,Between 10 and 15
12825067942,405148313,7/16/2021 15:15,7/16/2021 15:20,,,,,,About once a month,At least once a day,About once a month,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,Intermediate,Advanced,Basic stuff,Basic stuff,Basic stuff,Basic stuff,Intermediate,Basic stuff,Intermediate,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,,Google Sheets,,,,,,,,,,,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,I think wider use of open source languages really limits or even eliminates the need for separate data visualization and dashboarding tools (like Tableau and PowerBI).,ACAS,31-40 years old,United States,,Insurance company,,25-Nov,Between 10 and 15
12824958477,405148313,7/16/2021 14:16,7/16/2021 14:21,,,,,,Not at all,At least once a day,Less than once a month,About once a month,Not at all,Less than once a month,Not at all,About once a month,Not at all,Not at all,Advanced,Basic stuff,Basic stuff,Not at all,Basic stuff,Not at all,Intermediate,Not at all,Not at all,Unsure,Not at all,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,SAS,,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,No perceived benefit,,,,,,,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Insurance company,,10-Jun,More than 20
12824944340,405148313,7/16/2021 14:08,7/16/2021 14:14,,,,,,Less than once a month,At least once a day,Less than once a month,Less than once a month,Less than once a month,Not at all,Less than once a month,Not at all,Not at all,Basic stuff,Expert,Not at all,Basic stuff,Basic stuff,Not at all,Intermediate,Not at all,Basic stuff,Somewhat,Not at all,Somewhat,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Very much so,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Unsure,Unsure,Unsure,Somewhat,Not at all,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,No,,,,,Python,,,,,,,Lack of management support,,,Not enough time,,,Insufficient/inadequate staff,Lack of management support,,,,,,,,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,Asia,,Reinsurance company,,5-Jan,Between 10 and 15
12824936585,405148313,7/16/2021 14:05,7/16/2021 14:10,,,,,,At least once a day,At least once a day,Not at all,Not at all,About once a week,About once a month,Not at all,Not at all,At least once a day,Advanced,Advanced,Intermediate,Advanced,Basic stuff,Basic stuff,Basic stuff,Not at all,Advanced,Very much so,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Somewhat,Unsure,Somewhat,Not at all,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,specialized actuarial tools ,,,,,Python,,,,,,,,,,Not enough time,,,,,,Financial cost,,,,"Linear regression, including GLMs",,,,,,,AI/deep learning,,Tree-based methods like random forests,,,,FCAS,Up to 30 years old,Canada,,Insurance company,,51-200,Less than 5
12824818124,405148313,7/16/2021 13:03,7/16/2021 13:11,,,,,,Not at all,At least once a day,Not at all,Not at all,Less than once a month,At least once a day,Not at all,At least once a day,At least once a day,Not at all,Advanced,Basic stuff,Advanced,Not at all,Intermediate,Not at all,Intermediate,Advanced,Very much so,Somewhat,Somewhat,Very much so,Very much so,Somewhat,Not at all,Not at all,Not at all,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Not at all,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,,,,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,Financial cost,,No perceived benefit,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,Unsupervised learning methods like clustering or PCA,,,FCAS,31-40 years old,"United Kingdom, Ireland",,Insurance company,,25-Nov,Between 15 and 20
12824809267,405148313,7/16/2021 12:55,7/16/2021 13:07,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Expert,Not at all,Basic stuff,Not at all,Not at all,Not at all,Not at all,Basic stuff,Somewhat,Somewhat,Somewhat,Very much so,,,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,"Emblem, maybe Igloo - I'm not keeping up with developments or competitors....",,,,,,,,,,"I may need to learn something ad hoc, but nothing planned.",,,,,,,"Numerous other priorities, and wide usage of flexible MS Office tools",,,,,,,Other priorities - regulatory but not tech-focused work,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,61 or older,United States,,Government or regulatory organization,,5-Jan,More than 20
12824701780,405148313,7/16/2021 12:14,7/16/2021 12:18,,,,,,Less than once a month,At least once a day,Not at all,Less than once a month,Less than once a month,About once a week,Less than once a month,About once a week,At least once a day,Basic stuff,Expert,Basic stuff,Intermediate,Basic stuff,Intermediate,Not at all,Basic stuff,Expert,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Unsure,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,,,,Python,,,,,,,,,,Not enough time,,,,,,,,,,"Linear regression, including GLMs",,,Excess loss analysis,,,,,,,,,,ACAS,31-40 years old,Canada,,Insurance company,,51-200,Between 5 and 10
12824692112,405148313,7/16/2021 12:10,7/16/2021 12:14,,,,,,At least once a day,At least once a day,Not at all,Not at all,About once a week,About once a month,Not at all,About once a month,About once a week,Expert,Expert,Intermediate,Intermediate,Advanced,Basic stuff,Intermediate,Basic stuff,Intermediate,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Somewhat,"Neural network based languages: Tensorflow, PyTorch  Probabilistic programming languages: Stan, Tensorflow Probability, Pyro, etc.",R,,,,Python,,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",,"Time series analysis, including claim trend analysis",,Chain-ladder,Tree-based methods like random forests,,,,FCAS,41-50 years old,United States,,Insurance company,,51-200,Between 15 and 20
12824688654,405148313,7/16/2021 12:10,7/16/2021 12:13,,,,,,At least once a day,At least once a day,About once a month,Not at all,Not at all,About once a month,Not at all,Not at all,Less than once a month,Advanced,Advanced,Intermediate,Intermediate,Not at all,Basic stuff,Not at all,Not at all,Basic stuff,Very much so,Somewhat,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Very much so,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,,R,Excel,,,,,,A business intelligence dashboarding tool like Power BI,SQL,,,,Lack of IT support,,Not enough time,No perceived benefit,,,,,,,,,"Linear regression, including GLMs",Credibility,,,,,"Time series analysis, including claim trend analysis",,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,Up to 30 years old,United States,,Insurance company,,200+,Between 5 and 10
12824580382,405148313,7/16/2021 11:22,7/16/2021 11:26,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Not at all,Basic stuff,Very much so,Somewhat,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Somewhat,Somewhat,Powerpoint for output,R,,,,,,,,,,,,,,Not enough time,No perceived benefit,,,,,,,No perceived benefit,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,41-50 years old,Canada,,Consulting Firm,,5-Jan,More than 20
12824578840,405148313,7/16/2021 11:08,7/16/2021 11:26,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,About once a month,Not at all,Intermediate,Basic stuff,Not at all,Not at all,Basic stuff,Not at all,Basic stuff,Basic stuff,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Not at all,Unsure,Unsure,Somewhat,Unsure,Unsure,,,Excel,,,,,,,SQL,,,,,,,,,,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,ACAS,51-60 years old,United States,,Insurance company,,26-50,Between 10 and 15
12824502660,405148313,7/16/2021 10:48,7/16/2021 10:55,,,,,,Not at all,At least once a day,About once a month,About once a month,Not at all,Not at all,Not at all,Not at all,About once a month,Not at all,Advanced,Advanced,Intermediate,Not at all,Not at all,Not at all,Not at all,Intermediate,Very much so,Somewhat,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Very much so,Somewhat,,,Somewhat,Somewhat,Very much so,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Glm tools,R,,,,Python,,,,SQL,,,,,Financial cost,,No perceived benefit,,Insufficient/inadequate staff,,,Financial cost,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,31-40 years old,Canada,,Insurance company,,26-50,Between 10 and 15
